title,label
"Brazil probes plane crash that kills Supreme Court judge RIO DE JANEIRO, Jan. 20 (Xinhua) -- Brazil's Air Force, Federal Police and the Federal Prosecution Office are investigating a plane crash that killed Supreme Court Judge Teori Zavascki, local media sa",0
"(LEAD) Asiana flight-emergency landing (LEAD) Asiana flight-emergency landing
(LEAD) Replacement Asiana plane carrying stranded passengers in Russia leaves for London
(ATTN: UPDATES with heading for London in first 3 paras; CHANGES headlin",0
"Four people including a father and his two teenage children are missing and presumed dead after their plane crashed in icy Alaska lake Four people including a father and his two teenage children are missing and presumed dead after their plane crashed into a lake in Alaska.
Pilot Lyle Longerbeam, 25, and passengers Scott Blom, 45, his",0
"Indian PM extends condolences to Russia over plane crash Text of report in English by Press Trust of India news agency on 25 December  New Delhi, 25 Dec (PTI): Prime Minister Narendra Modi on Sunday [25 December] extended condolences to Russia over the deat",1
"Brazilian soccer team's plane crashes in Colombia; 75 dead MEDELLIN, Colombia  MEDELLIN, Colombia (AP) — A chartered plane with a Brazilian first division soccer team crashed near Medellin while on its way to the finals of a regional tournament, killing 75 pe",0
"Indonesian plane skids off runway in new aviation mishap Jakarta: An Indonesian passenger plane carrying 130 people skidded off the runaway as it landed at a major airport in heavy rain, the airline said Thursday, the latest mishap to hit the country's avia",0
"BREAKING: London plane to Shanghai with 186 aboard makes emergency landing in Siberia A PLANE from London Heathrow to Shanghai with 186 passengers on board made an emergency landing in Siberia today.
NC
A London plane to Shanghai with 186 aboard makes emergency landing in Siberia
The C",0
"OC baseball alumnus Kent perishes in plane crash Oklahoma City: Oklahoma Christian University has issued the following news release:
Jimmy Kent, a former All-Sooner Athletic Conference baseball player for Oklahoma Christian, has died in a plane cras",1
"SOCIETY: IDENTIFICATION-PLANE-BODIES: Identifying victims of Tu-154 plane crash will take around four weeks - health ministry MOSCOW, December 29. /TASS/. Identification of the remains of those killed in the Tu-154 plane crash will take up to four weeks, First Deputy Russian Health Minister Igor Kagramanyan said at a news co",1
"Plane crash witness: 'A miracle' all survived August 10, 2016
""Once we learned all the patients were out of the aircraft, we focused on patient care.""
Henry DeJager
Smithville Fire Chief
Moments after a small airplane carrying four people crashed",0
"Canadian in plane crash was headed to reunion; Family Surprise A man who had flown to Paris for a surprise family reunion was one of two Canadians later killed in the mysterious EgyptAir crash.
Medhat Tanious of Toronto died when Flight 804 plunged into the Medit",1
"1st LD: Main flight recorder of crashed Russian Tu-154 retrieved MOSCOW, Dec. 27 -- The main flight recorder of the Russian military Tu-154 aircraft that crashed Sunday into the Black Sea has been retrieved from the wreckage, the Russian Defense Ministry said Tuesd",0
"NB-Helicopter-Crash CAMPBELLTON, N.B. - Friends are mourning the co-owner of the Capitales de Quebec baseball team, who was one of two people killed in a helicopter crash in northern New Brunswick on Sunday afternoon.
Th",0
"Wreckage of EgyptAir aircraft located say investigators Cairo, June 16 -- Egyptian investigators have claimed that wreckage of the EgyptAir flight that went missing over the Mediterranean in May has been found, according to media reports
A statement from t",0
"PLANE CRASHES IN COLOMBIA WITH 81 ON BOARD, INCLUDING BRAZILIAN FOOTBALLERS Bogota, Colombia, Nov 29 (Antara/Reuters) - An aircraft with 81 people aboard, including a Brazilian football team, crashed in central Colombia, and rescuers are moving survivors from the site, the co",0
"Navy investigating cause of training mission jet crash RALEIGH, N.C. _ Four Navy aviators ejected from two fighter jets ""at a high rate of speed"" after their aircraft got into trouble in the air and plunged into the Atlantic Ocean off the North Carolina c",0
"German airlines to scrap requirement for 2 people in cockpit BERLIN _ Germany's aviation association says the country's airlines have decide to scrap rules requiring two people in the cockpit at the same time, implemented after a Germanwings pilot is believed t",0
"Passenger dies and pilot critically injured in Norfolk vintage plane crash A man in his 80s died and a pilot was critically injured after a vintage American fighter plane crashed near an airfield in Norfolk.
The aircraft came down in a field by Hardwick airfield near the tow",0
"BRIEF: Plane crashes at Sebastian airport; no reported injuries July 23--SEBASTIAN -- A small plane crashed Saturday morning on the Sebastian Municipal Airport property
The plane crashed on the airport property a little after 9 a.m. Saturday with two people on boa",0
